127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4723
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 200 244
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:06:45 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:12:25 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 500 3145
127.0.0.1 - - [18/Mar/2014:21:12:40 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 500 3145
127.0.0.1 - - [18/Mar/2014:21:13:12 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 500 3145
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 302 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?error=expira_sesion HTTP/1.1" 200 5347
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:14 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:25:21 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1395197721&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [18/Mar/2014:22:25:23 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [18/Mar/2014:22:25:23 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 500 2487
127.0.0.1 - - [18/Mar/2014:22:25:40 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 500 3141
127.0.0.1 - - [18/Mar/2014:22:25:44 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 500 3141
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4800
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:00 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:25 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4820
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:26 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4803
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:22:26:45 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
