127.0.0.1 - - [28/Feb/2014:03:10:14 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:10:14 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:10:14 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
127.0.0.1 - - [28/Feb/2014:03:10:22 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:10:22 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:10:22 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
127.0.0.1 - - [28/Feb/2014:03:10:29 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:10:29 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:10:29 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
127.0.0.1 - - [28/Feb/2014:03:10:41 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:10:41 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:10:41 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
127.0.0.1 - - [28/Feb/2014:03:10:48 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:10:49 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:10:49 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
127.0.0.1 - - [28/Feb/2014:03:27:54 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:27:54 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:27:54 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 306
127.0.0.1 - - [28/Feb/2014:03:27:54 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:30:14 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:30:14 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:30:14 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 1452
127.0.0.1 - - [28/Feb/2014:03:31:30 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:31:31 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:31:31 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 1560
127.0.0.1 - - [28/Feb/2014:03:31:56 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:31:56 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:31:56 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 1681
127.0.0.1 - - [28/Feb/2014:03:33:59 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:33:59 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:33:59 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 1682
127.0.0.1 - - [28/Feb/2014:03:34:00 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:00 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:00 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:01 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:01 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:01 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:11 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:11 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:11 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 1682
127.0.0.1 - - [28/Feb/2014:03:34:20 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:20 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:20 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 1681
127.0.0.1 - - [28/Feb/2014:03:34:30 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:30 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:30 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:31 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:31 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:31 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:31 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:31 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:31 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:32 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:32 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:32 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:32 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:32 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:32 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:34:38 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:34:38 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
